epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,63289.8,0.45891,0.5724,0.29142,0.7931,0.9945,0.98184,0.99305,0.9457,0.97642,0.96323,0.97971,0.59372,0.3501,0.66948,0.22649,0.78052,0.007327,0.007327,0.007327
83,64034.1,0.45497,0.5906,0.28998,0.79398,0.99518,0.98219,0.99307,0.94566,0.97812,0.96377,0.98024,0.59535,0.35137,0.66378,0.22678,0.78038,0.007294,0.007294,0.007294
84,64793.4,0.45345,0.55984,0.29128,0.79366,0.99438,0.98368,0.99303,0.94517,0.97528,0.96385,0.97911,0.59396,0.35145,0.66071,0.22549,0.78067,0.007261,0.007261,0.007261
85,65559.4,0.451,0.56793,0.2897,0.79378,0.99599,0.9837,0.99316,0.94578,0.97655,0.9635,0.97928,0.59417,0.34867,0.64782,0.22353,0.7802,0.007228,0.007228,0.007228
86,66332,0.45234,0.5656,0.28677,0.79294,0.99643,0.98348,0.99316,0.94529,0.97882,0.96338,0.97888,0.59179,0.35008,0.64434,0.22414,0.78004,0.007195,0.007195,0.007195
87,67098.3,0.4543,0.58566,0.28718,0.79236,0.99535,0.98514,0.99307,0.94555,0.97701,0.9645,0.97888,0.59674,0.34951,0.64152,0.22295,0.77986,0.007162,0.007162,0.007162
88,67862.9,0.45045,0.57552,0.28722,0.79226,0.99549,0.98424,0.99322,0.94705,0.97598,0.96149,0.97792,0.59509,0.34635,0.63764,0.22178,0.7802,0.007129,0.007129,0.007129
89,68624.8,0.45073,0.56581,0.28701,0.79388,0.99659,0.98525,0.99335,0.94738,0.97711,0.96389,0.97986,0.59799,0.34598,0.64384,0.2214,0.78025,0.007096,0.007096,0.007096
90,69390.7,0.445,0.56103,0.28344,0.79204,0.99618,0.98563,0.99329,0.94813,0.9768,0.96246,0.97932,0.59634,0.34343,0.65043,0.22004,0.77995,0.007063,0.007063,0.007063
91,70156.4,0.44759,0.56412,0.28574,0.78954,0.99618,0.98397,0.99392,0.94839,0.97743,0.96281,0.97972,0.59452,0.34238,0.63955,0.22042,0.77955,0.00703,0.00703,0.00703
